size,ordering,time_sec,gflops
100,IJP,0.001680,1.19
100,IPJ,0.000975,2.05
100,JIP,0.001537,1.30
100,JPI,0.000243,8.23
100,PIJ,0.001307,1.53
100,PJI,0.000251,7.97
200,IJP,0.013637,1.17
200,IPJ,0.011045,1.45
200,JIP,0.015791,1.01
200,JPI,0.003461,4.62
200,PIJ,0.015301,1.05
200,PJI,0.003082,5.19
300,IJP,0.052184,1.03
300,IPJ,0.063149,0.86
300,JIP,0.055183,0.98
300,JPI,0.008974,6.02
300,PIJ,0.061975,0.87
300,PJI,0.012043,4.48
400,IJP,0.135997,0.94
400,IPJ,0.167265,0.77
400,JIP,0.122959,1.04
400,JPI,0.021662,5.91
400,PIJ,0.176864,0.72
400,PJI,0.028585,4.48
500,IJP,0.278132,0.90
500,IPJ,0.341133,0.73
500,JIP,0.265517,0.94
500,JPI,0.042696,5.86
500,PIJ,0.347783,0.72
500,PJI,0.054457,4.59
600,IJP,0.440625,0.98
600,IPJ,0.595199,0.73
600,JIP,0.456328,0.95
600,JPI,0.079780,5.41
600,PIJ,0.603135,0.72
600,PJI,0.095436,4.53
800,IJP,1.178961,0.87
800,IPJ,5.242634,0.20
800,JIP,1.154540,0.89
800,JPI,0.171999,5.95
800,PIJ,5.148431,0.20
800,PJI,0.229758,4.46
1000,IJP,2.135147,0.94
1000,IPJ,17.010436,0.12
1000,JIP,2.268438,0.88
1000,JPI,0.394504,5.07
1000,PIJ,16.254992,0.12
1000,PJI,0.464223,4.31
1200,IJP,3.661507,0.94
1200,IPJ,23.978438,0.14
1200,JIP,3.741504,0.92
1200,JPI,0.644959,5.36
1200,PIJ,24.155116,0.14
1200,PJI,0.733250,4.71
